"Date","Price","Open","High","Low","Vol","Change %"
"10/11/2023","1.3592","1.3584","1.3625","1.3571","","0.07%"
"10/10/2023","1.3583","1.3590","1.3619","1.3569","","-0.05%"
"10/09/2023","1.3590","1.3678","1.3680","1.3580","","-0.52%"
"10/06/2023","1.3661","1.3709","1.3746","1.3643","","-0.31%"
"10/05/2023","1.3704","1.3745","1.3787","1.3703","","-0.29%"
"10/04/2023","1.3744","1.3708","1.3780","1.3690","","0.26%"
"10/03/2023","1.3708","1.3676","1.3737","1.3664","","0.23%"
"10/02/2023","1.3676","1.3572","1.3680","1.3556","","0.73%"
"09/29/2023","1.3577","1.3489","1.3585","1.3417","","0.67%"
"09/28/2023","1.3486","1.3498","1.3518","1.3470","","-0.07%"
"09/27/2023","1.3496","1.3517","1.3544","1.3494","","-0.14%"
"09/26/2023","1.3515","1.3454","1.3529","1.3448","","0.45%"
"09/25/2023","1.3454","1.3474","1.3493","1.3453","","-0.22%"
"09/22/2023","1.3483","1.3480","1.3492","1.3422","","0.00%"
"09/21/2023","1.3483","1.3462","1.3525","1.3451","","0.17%"
"09/20/2023","1.3460","1.3448","1.3479","1.3395","","0.09%"
"09/19/2023","1.3448","1.3486","1.3491","1.3381","","-0.27%"
"09/18/2023","1.3485","1.3522","1.3529","1.3470","","-0.28%"
"09/15/2023","1.3523","1.3509","1.3550","1.3493","","0.11%"
"09/14/2023","1.3508","1.3555","1.3556","1.3492","","-0.28%"
"09/13/2023","1.3546","1.3553","1.3588","1.3520","","-0.05%"
"09/12/2023","1.3553","1.3571","1.3594","1.3542","","-0.13%"
"09/11/2023","1.3570","1.3632","1.3640","1.3560","","-0.51%"
"09/08/2023","1.3640","1.3683","1.3691","1.3607","","-0.30%"
"09/07/2023","1.3681","1.3637","1.3696","1.3632","","0.34%"
"09/06/2023","1.3635","1.3642","1.3678","1.3621","","-0.04%"
"09/05/2023","1.3640","1.3590","1.3671","1.3587","","0.37%"
"09/04/2023","1.3590","1.3599","1.3606","1.3575","","-0.03%"
"09/01/2023","1.3594","1.3508","1.3614","1.3489","","0.64%"
"08/31/2023","1.3507","1.3533","1.3559","1.3504","","-0.18%"
"08/30/2023","1.3531","1.3553","1.3578","1.3512","","-0.16%"
"08/29/2023","1.3553","1.3599","1.3638","1.3549","","-0.32%"
"08/28/2023","1.3597","1.3601","1.3613","1.3570","","-0.04%"
"08/25/2023","1.3602","1.3583","1.3641","1.3569","","0.17%"
"08/24/2023","1.3579","1.3526","1.3591","1.3510","","0.40%"
